eps,min_samples,n_clusters,noise_ratio,largest_cluster
0.09538186981017682,4,2229,0.35066495753885596,2390
0.18396279893650208,4,1465,0.15692597340169845,5913
0.13743038377446615,4,1731,0.23666079153981734,5298
0.2165356392115675,6,711,0.19101506168883192,7347
0.19005302040044986,6,810,0.22874939913475403,5741
0.11247332827640821,3,3221,0.21589088287133473,4140
0.21645196027904023,5,947,0.15492308924851786,6452
0.21095287149936037,3,1905,0.08604390322063772,6663
0.12749567580603488,5,1253,0.31200929338247074,4653
0.10766562078604883,4,1925,0.3152739945521551,3549
0.1864991007949951,4,1316,0.15720637718314373,5964
0.07795049672186197,5,1596,0.5083720557602949,2202
0.08998164049502166,4,2263,0.3746194520108957,2209
0.05147245395020111,4,2305,0.5975404582598942,2001
0.20738487550042767,6,741,0.20327271270629707,6963
0.18297017131840643,7,636,0.27199166800192276,6472
0.191033075725267,3,2053,0.10228729370293223,6039
0.2061458062043936,4,1305,0.12990706617529243,6519
0.14178315510766798,7,726,0.3621214548950489,4828
0.16374823919057874,5,1078,0.236901137638199,5699
0.0779593996255315,4,2399,0.4267144688351226,2250
0.0729060147071947,5,1636,0.5357114244512098,2133
0.18368059235809436,3,2153,0.11053917641403621,7189
0.1442192412286265,3,2584,0.16031084762057363,5349
0.16304722129623778,6,798,0.27393446563050794,6147
0.20299977148320514,5,1023,0.17010495112962667,6062
0.17694366400011818,6,789,0.2509012978689313,6197
0.16071588013159915,4,1540,0.19454013779842974,6321
0.1618414321490827,7,685,0.312910591251402,5373
0.11079001961252244,5,1440,0.3608996955616087,2482
0.056163566913587884,6,931,0.7156305079314212,1971
0.1373434778464725,3,2733,0.17114645088928057,5989
0.09291693456390585,3,3652,0.26982855311648773,2269
0.13170572874492725,6,954,0.35210703412914596,4556
0.22068061465363326,7,586,0.21559045024835763,5871
0.09678789717306815,7,897,0.5239144367889761,2318
0.061660548337813204,4,2508,0.5242949847780805,2141
0.10627677840439931,3,3339,0.22844896651177696,2595
0.10871875155333673,7,844,0.4731413235058484,3147
0.18238330294537902,6,800,0.24080676173690113,6073
0.16140643046825567,4,1584,0.1916359557763179,5377
0.20677964182128272,6,719,0.20727848101265822,6409
0.1828627080654775,7,650,0.27058964909469635,5533
0.13127737228801412,4,1749,0.25214308604390323,4726
0.21280407693320696,6,746,0.19498077231212946,6634
0.08339458398154079,6,1217,0.5412193558724563,2234
0.0545424146267721,5,1426,0.6623137317737542,1905
0.06800957215512836,6,1142,0.6268025957378626,2168
0.19447187011929007,4,1384,0.14755247556481332,6473
0.14237544605027747,7,754,0.3583560326870694,4485
0.08225435580672036,7,904,0.6029482454734818,2262
0.15020895502067272,7,702,0.33534289376702453,4986
0.0804624205426337,6,1170,0.557442717513219,2196
0.1892640750155472,3,2078,0.10561208139721198,5935
0.13923125511480616,4,1705,0.23339609037013298,5064
0.12620424521929652,5,1279,0.3186188110879667,4438
0.11030241782957531,7,855,0.4683944880628104,2433
0.1760565186237777,5,1044,0.21292661432462745,6292
0.12236252211067809,5,1296,0.3300753084441596,4383
0.0675299838632202,3,4415,0.36270229129947124,2236
0.07360118042410307,6,1177,0.5969796506970036,2184
0.24237953290990294,4,1110,0.09421567056561449,7370
0.23171613814152142,3,1644,0.06761736901137638,7348
0.18994142676214992,7,595,0.26321903541099184,6497
0.10317399229190392,3,3415,0.2405864444800513,2443
0.2438352754695448,3,1561,0.06279041820221118,8011
0.20575018079315893,3,1898,0.09018987341772151,6589
0.19337803783179913,5,1012,0.18624819740426213,6405
0.13987230042875776,3,2699,0.1657186348341612,5479
